Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,Over2.5,HomeOdd,DrawOdd,AwayOdd,Over2.5Odd,Under2.5Odd,HomeTeamTotalGoals,AwayTeamTotalGoals,AvgGoalsHomeTeam,AvgGoalsAwayTeam,TotalAttemptsHomeTeam,TotalAttemptsAwayTeam,KicksInsideAreaHomeTeam,KicksInsideAreaAwayTeam,KicksOutsideAreaHomeTeam,KicksOutsideAreaAwayTeam,HeadersHomeTeam,HeadersAwayTeam,StealsHomeTeam,StealsAwayTeam,FoulsHomeTeam,FoulsAwayTeam,CornersHomeTeam,CornersAwayTeam,ErrorsHomeTeam,ErrorsAwayTeam
29/10/2016,Atromitos,Olympiakos,0,1,A,FALSE,"7,50","4,50","1,40","1,88","1,85",4,15,"0,6666666667","2,5",,,,,,,,,,,,,,,,
29/10/2016,AEL,Panionios,2,0,H,FALSE,"2,45","3,10","3,00","2,54","1,46",5,8,"0,8333333333","1,333333333",,,,,,,,,,,,,,,,
29/10/2016,Xanthi,Kerkyra,0,0,D,FALSE,"1,62","3,40","6,50","2,65","1,42",4,5,"0,6666666667","0,8333333333",,,,,,,,,,,,,,,,
30/10/2016,Asteras Tripolis,Levadeiakos,1,0,H,FALSE,"1,53","3,60","7,50","2,48","1,47",4,7,"0,6666666667","1,4",,,,,,,,,,,,,,,,
30/10/2016,Panathinaikos,Iraklis,2,0,H,FALSE,"1,17","7,50","13,00","1,63","2,16",12,5,2,"0,8333333333",,,,,,,,,,,,,,,,
30/10/2016,PAOK,AEK,1,0,H,FALSE,"1,85","3,30","4,50","2,39","1,52",6,8,1,"1,333333333",,,,,,,,,,,,,,,,
30/10/2016,Veria,Platanias,0,0,D,FALSE,"2,88","3,00","2,60","2,71","1,41",4,4,"0,6666666667","0,6666666667",,,,,,,,,,,,,,,,
31/10/2016,Panetolikos,Giannina,1,2,A,TRUE,"1,95","3,10","4,33","2,38","1,52",8,8,"1,333333333","1,6",,,,,,,,,,,,,,,,
05/11/2016,AEK,Atromitos,2,2,D,TRUE,"1,44","4,00","8,00","2,28","1,57",8,4,"1,142857143","0,5714285714",,,,,,,,,,,,,,,,
05/11/2016,Giannina,Asteras Tripolis,1,2,A,TRUE,"2,45","2,90","3,20","2,39","1,52",10,5,"1,666666667","0,7142857143",,,,,,,,,,,,,,,,
05/11/2016,Levadeiakos,Xanthi,1,1,D,FALSE,"2,40","3,00","3,20","2,56","1,46",7,4,"1,166666667","0,5714285714",,,,,,,,,,,,,,,,
06/11/2016,Kerkyra,Veria,2,0,H,FALSE,"1,80","3,20","5,00","2,68","1,42",5,4,"0,7142857143","0,5714285714",,,,,,,,,,,,,,,,
06/11/2016,Olympiakos,Panathinaikos,3,0,H,TRUE,"1,67","3,50","5,50","2,2","1,61",16,14,"2,285714286",2,,,,,,,,,,,,,,,,
06/11/2016,Panetolikos,AEL,2,1,H,TRUE,"1,83","3,20","4,75","2,51","1,41",9,7,"1,285714286",1,,,,,,,,,,,,,,,,
06/11/2016,Panionios,PAOK,1,0,H,FALSE,"3,60","3,20","2,10","2,54","1,46",8,7,"1,142857143",1,,,,,,,,,,,,,,,,
07/11/2016,Iraklis,Platanias,1,1,D,FALSE,"3,20","3,00","2,38","2,64","1,44",5,4,"0,7142857143","0,5714285714",,,,,,,,,,,,,,,,
23/11/2016,Giannina,Levadeiakos,0,0,D,FALSE,"1,67","3,50","5,50","2,15","1,64",11,8,"1,571428571","1,142857143",,,,,,,,,,,,,,,,
26/11/2016,AEK,Platanias,3,0,H,TRUE,"1,33","4,4","9,75","2,19","1,61",10,5,"1,25","0,625",,,,,,,,,,,,,,,,
26/11/2016,Asteras Tripolis,AEL,1,1,D,FALSE,"1,50","3,80","7,50","2,34","1,54",7,8,"0,875",1,,,,,,,,,,,,,,,,
26/11/2016,Giannina,Veria,2,0,H,FALSE,"1,40","4,00","9,50","2,39","1,52",11,4,"1,375","0,5",,,,,,,,,,,,,,,,
27/11/2016,Levadeiakos,Iraklis,3,0,H,TRUE,"1,75","3,40","5,00","2,51","1,47",8,6,1,"0,75",,,,,,,,,,,,,,,,
27/11/2016,Olympiakos,Kerkyra,0,0,D,FALSE,"1,10","9,00","21,00","1,43","2,66",19,7,"2,375","0,875",,,,,,,,,,,,,,,,
27/11/2016,Panetolikos,Xanthi,2,3,A,TRUE,"2,00","3,20","4,00","2,6","1,45",11,5,"1,375","0,625",,,,,,,,,,,,,,,,
27/11/2016,Panionios,Panathinaikos,1,1,D,FALSE,"3,75","3,40","2,00","2,25","1,58",9,14,"1,125","1,75",,,,,,,,,,,,,,,,
28/11/2016,PAOK,Atromitos,3,4,A,TRUE,"1,40","4,50","8,00","2,16","1,62",7,6,"0,875","0,75",,,,,,,,,,,,,,,,
03/12/2016,Kerkyra,AEK,1,1,D,FALSE,"5,50","3,30","1,73","2,4","1,51",7,13,"0,7777777778","1,444444444",,,,,,,,,,,,,,,,
03/12/2016,Platanias,Panionios,1,1,D,FALSE,"2,50","2,90","3,10","2,82","1,39",5,10,"0,5555555556","1,111111111",,,,,,,,,,,,,,,,
